Product Name,Price,Image URL,Product URL,User Rating,Review Count,Specifications,Brand,Product ID,Category
OPPO Reno12 5G 12GB/256GB Hồng,11.990.000₫,,https://www.thegioididong.com/dtdd/oppo-reno12-5g-12gb-256gb-hong,3.8,5,"{'RAM': '12 GB', 'Dung lượng': '256 GB', 'Camera sau': 'Chính 50 MP & Phụ 8 MP, 2 MP', 'Camera trước': '32 MP'}",OPPO,321892,Điện thoại
OPPO A38,4.490.000₫,https://cdn.tgdd.vn/Products/Images/42/320836/oppo-a38-black-thumb-600x600.jpg,https://www.thegioididong.com/dtdd/oppo-a38-6gb,4.0,26,"{'RAM': '6 GB', 'Dung lượng': '128 GB', 'Camera sau': 'Chính 50 MP & Phụ 2 MP', 'Camera trước': '5 MP'}",OPPO,320836,Điện thoại
OPPO Reno11 Pro 5G 12GB/512GB,11.990.000₫,,https://www.thegioididong.com/dtdd/oppo-reno11-pro?utm_flashsale=1,4.8,8,"{'RAM': '12 GB', 'Dung lượng': '512 GB', 'Camera sau': 'Chính 50 MP & Phụ 32 MP, 8 MP', 'Camera trước': '32 MP'}",OPPO,314210,Điện thoại
OPPO Reno10 Pro+ 5G 12GB/256GB,19.990.000₫,,https://www.thegioididong.com/dtdd/oppo-reno10-pro-plus?utm_flashsale=1,3.8,13,"{'RAM': '12 GB', 'Dung lượng': '256 GB', 'Camera sau': 'Chính 50 MP & Phụ 64 MP, 8 MP', 'Camera trước': '32 MP'}",OPPO,306980,Điện thoại
OPPO A60,5.290.000₫,https://cdn.tgdd.vn/Products/Images/42/323543/oppo-a60-blue-thumb-600x600.jpg,https://www.thegioididong.com/dtdd/oppo-a60-128gb,3.9,59,"{'RAM': '8 GB', 'Dung lượng': '128 GB', 'Camera sau': 'Chính 50 MP & Phụ 2 MP', 'Camera trước': '8 MP'}",OPPO,323543,Điện thoại
OPPO Reno12 F 8GB/256GB,8.190.000₫,,https://www.thegioididong.com/dtdd/oppo-reno12-f-4g-8gb-256gb,2.4,5,"{'RAM': '8 GB', 'Dung lượng': '256 GB', 'Camera sau': 'Chính 50 MP & Phụ 8 MP, 2 MP', 'Camera trước': '32 MP'}",OPPO,328306,Điện thoại
OPPO Reno12 5G,11.990.000₫,https://cdn.tgdd.vn/Products/Images/42/327191/oppo-reno12-5g-sliver-thumb-1-600x600.jpg,https://www.thegioididong.com/dtdd/oppo-reno12-5g-12gb-256gb,3.9,8,"{'RAM': '12 GB', 'Dung lượng': '256 GB', 'Camera sau': 'Chính 50 MP & Phụ 8 MP, 2 MP', 'Camera trước': '32 MP'}",OPPO,327191,Điện thoại
OPPO Reno12 Pro 5G 12GB/512GB,17.990.000₫,,https://www.thegioididong.com/dtdd/oppo-reno12-pro,5.0,3,"{'RAM': '12 GB', 'Dung lượng': '512 GB', 'Camera sau': 'Chính 50 MP & Phụ 50 MP, 8 MP', 'Camera trước': '50 MP'}",OPPO,322124,Điện thoại
OPPO A79 5G 8GB/256GB,7.490.000₫,,https://www.thegioididong.com/dtdd/oppo-a79-5g,3.5,32,"{'RAM': '8 GB', 'Dung lượng': '256 GB', 'Camera sau': 'Chính 50 MP & Phụ 2 MP', 'Camera trước': '8 MP'}",OPPO,316776,Điện thoại
OPPO A78 8GB/256GB,6.490.000₫,,https://www.thegioididong.com/dtdd/oppo-a78,3.8,114,"{'RAM': '8 GB', 'Dung lượng': '256 GB', 'Camera sau': 'Chính 50 MP & Phụ 2 MP', 'Camera trước': '8 MP'}",OPPO,309847,Điện thoại
